Pelé,1940-10-23,Right
Diego Maradona,1960-10-30,Left
Ronaldo,1976-09-22,Right
Zinedine Zidane,1972-06-23,Right
Diego Maradona,1960-10-30,Left
Pelé,1940-10-23,Right
Lionel Messi,1987-06-24,Left
Lionel Messi,1987-06-24,Left
Ronaldinho,1980-03-21,Right
Ronaldo,1976-09-22,Right
Zinedine Zidane,1972-06-23,Right
Ferenc Puskás,1927-04-01,Left
Johan Cruyff,1947-04-25,Right
Lev Yashin,1929-10-22,Right
Mané Garrincha,1933-10-28,Right
Paolo Maldini,1968-06-26,Right
Lothar Matthäus,1961-03-21,Right
Marco van Basten,1964-10-31,Right
Roberto Baggio,1967-02-18,Right
Kevin De Bruyne,1991-06-28,Right
