776,4 M GROUP S.R.L.,4 M GROUP,O'HIGGINS                                                    1431       -                      - 1,V9200DWS   ESQUEL                                   Chubut,02945/685961,
190,AEROLINEAS ARGENTINAS S.A.,QUICK CARGO,BOUCHARD                                                     547        -                      - 5,1106AB6    CABA                                     Capital Federal,,
319,ALGENIB CORREO PRIVADO S.A.,ALGENIB S.A.,ESMERALDA                                                    155        -                      - 1,C1035ABC   CAPITAL FEDERAL                          Capital Federal,011/43264407,
940,ANAYA SAN MARTIN Y ASOCIADOS S.R.L.,ASM,RECONQUISTA                                                  533        -                      - 1,C1003ABJ   CAPITAL FEDERAL                          Capital Federal,011/50329902,011/50329900
415,ARPER EXPRESS S.R.L.,ARPER EXPRESS,CORRIENTES                                                   2554       -                      - 4,1046       CABA                                     Capital Federal,4951-5234,
3,AUSTRAL LINEAS AEREAS - CIELOS DEL SUR,AUSTRAL LINEAS AEREAS,AV. RAFAEL OBLIGADO - AEROPARQUE JORGE NEWBERY               S/N        -                      - 6Â°,C425DAA    C.A.B.A.                                 Capital Federal,011/37239000,
818,AUTOTRANSPORTES ANDESMAR S.A.,AUTOTRANSPORTES ANDESMAR S.R.L.,CARRIL RODRIGUEZ PEÃA                                        2831       -                      - 4Âº,M5501LQK   GODOY CRUZ                               Mendoza,061/316001,
396,BAT S.R.L.,BAT S.R.L.,URUGUAY                                                      239        -                      - 9,C1015ABE   CAPITAL FEDERAL                          Capital Federal,011/43710163,
613,BLUE MAIL S.A.,BLUE MAIL,AV. JOSE MARIA MORENO                                        1644       -                      -,C1424ABE   CAPITAL FEDERAL                          Capital Federal,011/49210234,
865,BUEA SERVICE S.R.L.,BUEA SERVICE S.R.L.,MONTIEL                                                      4959       -                      - PB,1439       CABA                                     Capital Federal,4602/4463,
780,CAJA MUNICIPAL DE PRESTAMOS,CAJA EXPRESS,HIPOLITO YRIGOYEN                                            1344       -                      - 2,W3400ATB   CORRIENTES                               Corrientes,03783/420216,
944,CONSOLTRADE S.R.L.,CONSOLTRADE,ADOLFO ALSINA                                                495        -                      - 1,C1087AAE   C.A.B.A.                                 Capital Federal,,
8,COOP-BAN FLETES S.R.L.,COOP-BAN FLETES S.R.L.,ACEVEDO                                                      763/65     -                      -,C1414AIF   CAPITAL FEDERAL                          Capital Federal,011/47717721,
277,COOPERATIVA DE TRABAJO,"COOPERATIVA DE TRABAJO ""HORIZONTE"" LTDA.",AV. MARIANO BOEDO                                            90         -                      - PB,C1206AAN   CAPITAL FEDERAL                          Capital Federal,011/49823844,
799,COPEVELOZ CORREO S.A.,COPEVELOZ,AV. CONSTITUCION                                             5151       -                      - 2,7600       MAR DEL PLATA                            Buenos Aires,0223/4794444,
586,CORREO ANDREANI S.A.,CORREO ANDREANI,SANTO DOMINGO                                                3220       -                      -,1292       CAPITAL FEDERAL                          Capital Federal,011/40160700,
797,CORREO DEL INTERIOR S.A.,NUEVO CORREO DEL INTERIOR,PARANA                                                       163        -                      - 3,X5000HXC   CORDOBA                                  CÃ³rdoba,0351/4248828,
51,CORREO PRIVADO SAN JUSTO S.A.,CORREO PRIVADO SAN JUSTO S.A.,LA RIOJA                                                     1286       -                      - 4,X5000EVZ   CORDOBA                                  CÃ³rdoba,0351/4119909,
84,CORREO PRIVADO SANTIAGUEÃO S.R.L.,COPRISA.,AV. BELGRANO (S)                                             958        -                      -,G4200AAW   CIUDAD CAPITAL                           Santiago del Estero,0385/4219250,
824,CORRER S.A.,CORRER S.A.,VILLAGUAY                                                    1025       -                      - 5,E3100HUU   PARANA                                   Entre Rios,0343/4217086,
416,CORRESPONDENCIAS DEL NOROESTE,CORRESNOA S.R.L.,HAITI                                                        66         -                      - 1,T4000GBB   SAN MIGUEL DE TUCUMAN                    TucumÃ¡n,0381/4211449,0381/4227395
864,CRUCERO DEL SUR S.R.L.,CRUCERO EXPRESS,AV. URUGUAY                                                  4596       -                      - 1,N3300NO    POSADAS                                  Misiones,03572/482223,
20,D.H.L. EXPRESS ARGENTINA S.A.,DHL,AV. CNEL. MARIANO LARRAZABAL                                 2255       -                      -,C1440ELF   CAPITAL FEDERAL                          Capital Federal,011/56701517,
943,DEL AGUILA S.A.,DEL AGUILA COURIER,FELIPE LLAVALLOL                                             5160       -                      -,C1419AKZ   CABA                                     Capital Federal,,
95,EMA SERVICIOS S.A.,EMA SERVICIOS S.A.,GRAL. SAN MARTIN                                             4970       -                      - 2,B1604CDX   FLORIDA (OESTE)                          Buenos Aires,011/47301902,
11,EMPRESA CENTRAL ARGENTINO S.A.,EMPRESA CENTRAL ARGENTINO S.A.,AV. BUCHARDO                                                 2413       -                      - 8,N3300GMM   POSADAS                                  Misiones,0376/4456000,
835,EMPRESA DE CONSTRUCCION Y,ECOS S.A.,RUTA 315                                                     KM 9       -                      - 4,4103       TAFI VIEJO                               TucumÃ¡n,0381/4617274,
484,ENTER SERVICE S.A.,ENTER SERVICE S.A.,AV. PARROCO MARSHKE                                          886        -                      - 1,4600       SAN SALVADOR DE JUJUY                    Jujuy,0388/4254600,
